5	Dedicated Server
9	ValveTestApp9
20	Team Fortress Classic
40	Deathmatch Classic
50	Half-Life: Opposing Force
60	Ricochet
90	Half-Life Dedicated Server
92	Codename Gordon
150	Counter-Strike Steamworks Beta
205	Source Dedicated Server
210	Source Dedicated Server
211	Source SDK
215	Source SDK Base 2006
218	Source SDK Base 2007
260	Counter-Strike: Source Beta
280	Half-Life: Source
304	Day of Defeat: Source Press Review
310	Source Multiplayer Dedicated Server
320	Half-Life 2: Deathmatch
340	Half-Life 2: Lost Coast
360	Half-Life Deathmatch: Source
364	Half-Life 1: Source Deathmatch
456	Team Fortress 2 - Summer 2012 Community Bundle DLC
457	Team Fortress 2 - Summer 2012 Sale Bundle DLC
458	Team Fortress 2 - Summer 2011 DLC
459	Team Fortress 2 - Premium DLC
480	Spacewar
510	Left 4 Dead Dedicated Server
513	Left 4 Dead Authoring Tools
520	Team Fortress 2 Beta
530	Left 4 Dead Demo
540	Left 4 Dead Demo Dedicated Server
560	Left 4 Dead 2 Dedicated Server
563	Left 4 Dead 2 Authoring Tools
564	Left 4 Dead 2 Add-on Support
565	Left 4 Dead 2 Preorder DLC
570	Dota 2
575	Dota 2 - Premium DLC
576	Dota 2 - SteelSeries DLC 
581	Dota 2 - Murrissey the Smeevil
582	Dota 2 - Lockjaw the Boxhound
583	Dota 2 - Drodo the Druffin
584	Dota 2 - Inflatable Donkey Courier
585	Dota 2 - Plush Donkey Courier
586	Dota 2 - International Axe
590	Left 4 Dead 2 Demo
600	Left 4 Dead 2 Demo Dedicated Server
629	Portal 2 Authoring Tools - Beta
635	Alien Swarm Dedicated Server
640	Alien Swarm - SDK
644	Portal 2 Publishing Tool
650	Portal 2 - Gamestop PS3 DLC
651	Portal 2 - Bot Paint Job DLC
652	Portal 2 - Bot Roll Cage DLC
653	Portal 2 - Bot Antenna Topper DLC
654	Portal 2 - Summer 2011 DLC
660	Portal 2 Sixense MotionPack
669	Portal 2 - Sixense Motion Preorder
680	ValveTestApp680
739	Counter-Strike: Global Offensive Beta
740	Counter-Strike Global Offensive - Dedicated Server
741	Counter-Strike Global Offensive - Valve Dedicated Server
745	Counter-Strike: Global Offensive - SDK
749	Counter-Strike: Global Offensive
753	Steam
754	Steam Economy
760	Steam Screenshots
761	Steam Cloud - Videos
764	Steam Cloud - User Logs
765	Greenlight
843	ValveTestApp843
852	ValveTestApp852
854	ValveTestApp854
900	Zombie Movie
901	Day of Defeat: Prelude to Victory
902	Dangerous Waters Trailer
903	Darwinia Trailer
904	Half-Life 2 Trailer
905	Half-Life 2: Episode One Trailer
906	Rag Doll Kung Fu Trailer
907	Red Orchestra Trailer
908	Shadowgrounds Trailer
909	Sin Episodes: Emergence Trailer
912	Half-Life 2: Episode One Launch Teaser 1
913	Half-Life 2: Episode One Launch Teaser 2
914	Half-Life 2: Episode One Launch Teaser 3
915	Half-Life 2: Episode One Launch Teaser 4
916	Half-Life 2: Episode Two Trailer
917	Day of Defeat: Jagd Trailer
918	Day of Defeat: Colmar Trailer
919	Dark Messiah: Warrior
920	Dark Messiah: Assassin
921	Dark Messiah: Wizard
922	Portal Trailer
923	Team Fortress 2 Trailer
924	Red Orchestra Infantry Tutorial
925	Red Orchestra Vehicle Tutorial
926	Red Orchestra Lyes Krovy Trailer
927	GTI Racing Trailer
928	SourceForts Trailer
929	Uplink Trailer
930	Half-Life 2: Episode Two Trailer 2
931	Team Fortress 2 Trailer 2
932	Half-Life 2: Episode Two Gameplay Movie 1
933	Half-Life 2: Episode Two Gameplay Movie 2
934	Half-Life 2: Episode Two Gameplay Movie 3
935	Dark Messiah Gameplay Trailer
936	Half-Life 2: Episode Two Gameplay Movie 4
937	Half-Life 2: Episode Two Gameplay Movie 5
938	City Life Trailer
939	X3: Reunion Trailer
940	Dark Messiah Launch Trailer
941	Red Orchestra Fall Update Trailer
942	Heroes of Annihilated Empires Trailer
943	Prey Trailer
944	Left4Dead Teaser
945	X3: Reunion 2.0 Trailer
946	Gumboy: Crazy Adventures Trailer
947	Eets Trailer
948	Silverfall Trailer
949	Joint Task Force Trailer
950	Hitman: Blood Money Trailer
951	Just Cause Trailer
953	TrackMania United Trailer
954	Runaway, The Dream of The Turtle Trailer
955	Battlestations: Midway Trailer
956	Project: Snowblind Trailer
957	Tomb Raider: Legend Trailer
958	Infernal Trailer
959	Infernal Trailer 1
960	Team Fortress 2: Meet the Heavy
961	Red Orchestra June 07 New Content Trailer
962	Tomb Raider: Anniversary Trailer
963	TrackMania United Webisode 1: Coppers
964	TrackMania United Webisode 2: Manialinks
965	TrackMania United Webisode 3: Maniazones
966	TrackMania United Webisode 4: Singleplayer
967	TrackMania United Webisode 5: Multiplayer
968	Sam & Max 101: Culture Shock Trailer
969	Sam & Max 102: Situation: Comedy Trailer
970	Sam & Max 103: The Mole, the Mob and the Meatball Trailer
971	Sam & Max 104: Abe Lincoln Must Die! Trailer
972	Sam & Max 105: Reality 2.0 Trailer
973	Sam & Max 106: Bright Side of the Moon Trailer
974	Lost Planet: Extreme Condition Trailer
975	Kane & Lynch Trailer 2
976	Kane & Lynch Trailer
977	ThreadSpace: Hyperbol Trailer
978	Titan Quest: Immortal Throne Trailer
979	S.T.A.L.K.E.R.: Shadow of Chernobyl Trailer
980	SpaceForce: Rogue Universe Trailer
981	Civilization IV: Beyond the Sword Trailer
982	Gish Trailer
983	Call of Juarez Trailer
984	Bioshock Trailer
985	Team Fortress 2: Meet The Soldier
986	Race07 Trailer
987	Team Fortress 2: Meet The Engineer
988	Kane & Lynch Trailer 3
989	Juiced 2 - Hot Import Nights Trailer
990	Enemy Territory: QUAKE Wars Trailer
991	Loki Trailer
992	Company of Heroes: Opposing Fronts
994	Team Fortress 2: Meet the Heavy (Russian)
995	The Orange Box Commercial
996	Two Worlds Trailer
997	Team Fortress 2: Meet the Demoman
998	Call of Duty 4: Modern Warfare Trailer
999	Painkiller Overdose Trailer
1001	Rag Doll Kung Fu Beta
1210	Red Orchestra Beta
1213	Red Orchestra: Ostfront 41-45
1220	RedOrchestra SDK Beta
1230	Mare Nostrum
1240	Mare Nostrum Dedicated Server
1250	Killing Floor
1255	Killing Floor DLC 1
1256	Killing Floor - Outbreak Character Pack
1257	Killing Floor - Nightfall Character Pack
1259	Killing Floor
1260	Killing Floor SDK
1270	Killing Floor Beta
1273	Killing Floor Beta Dedicated Server
1280	Darkest Hour: Europe '44-'45
1290	Darkest Hour Dedicated Server
1306	SiN Episodes: Emergence German
1317	Sin Episodes SDK
1320	SiN Episodes: Emergence
1330	ValveTestApp1330
1504	Darwinia Press Review
1507	ValveTestApp1507-do-not-use
1523	DEFCON Beta Demo
1525	DEFCON Beta
1528	ValveTestApp1528-do-not-use
1532	Multiwinia
1535	DEFCON Soundtrack DLC
1550	Multiwinia - Beta
1620	Jagged Alliance 2
1635	Disciples II ROTE Scenario Editor
1645	Disciples II Galleans Return Scenario Editor
1840	Source Filmmaker
1920	Two Worlds
1930	Two Worlds: Epic Edition
2100	Dark Messiah Might and Magic Single Player
2110	Dark Messiah Multiplayer Open Beta
2114	Dark Messiah Might and Magic Multi-Player
2115	Dark Messiah Might and Magic Single Player
2120	Dark Messiah Singleplayer Demo
2130	Dark Messiah Might and Magic Multi-Player
2145	Dark Messiah Might and Magic Dedicated Server
2150	Dark Messiah SDK Beta
2200	Quake III Arena
2210	Quake 4
2270	Wolfenstein 3D
2280	The Ultimate DOOM
2290	Final DOOM
2320	Quake II
2330	Quake II: The Reckoning
2340	Quake II: Ground Zero
2360	HeXen: Beyond Heretic
2370	HeXen: Deathkings of the Dark Citadel
2390	Heretic: Shadow of the Serpent Riders
2403	The Ship Dedicated Server
2410	The Ship Beta
2413	The Ship Dedicated Server Beta
2420	The Ship Single Player
2430	The Ship Tutorial
2460	Bloody Good Time Dedicated Server
2500	Shadowgrounds
2505	Shadowgrounds Editor
2510	Shadowgrounds Demo
2530	Gumboy Demo
2540	RIP
2545	RIP 2: Strike Back
2550	RIP 3: The Last Hero
2560	RIP 3 - The Last Hero Demo
2590	Alpha Prime
2600	Vampire: The Masquerade - Bloodlines
2610	GUN
2625	Call of Duty Singleplayer
2635	Call of Duty 2 Singleplayer
2645	Call of Duty: United Offensive Singleplayer
2680	The History Channel: Civil War
2690	Empires: Dawn of the Modern World
2720	ThreadSpace: Hyperbol
2724	ThreadSpace: Hyperbol
2725	ThreadSpace: Hyperbol Map Editor
2726	ThreadSpace: Hyperbol Soundtrack
2730	ThreadSpace: Hyperbol Demo
2740	ThreadSpace: Hyperbol dedicated server
2760	Neverwinter Nights 2: Platinum
2767	Neverwinter Nights 2 Expansion 1
2768	Neverwinter Nights 2 Expansion 2
2770	Neverwinter Nights 2: Platinum - Map Editor
2790	Atari: 80 Classic Games in One!
2826	X3: Terran Conflict
2827	X3: A Sunny Place
2850	X-Tension
2860	X-SuperBox Bonus Material
2900	688(I) Hunter/Killer
2910	Fleet Command
2950	Jagged Alliance 2: Unfinished Business
3000	GTI Racing
3010	Xpand Rally
3020	Call of Juarez
3030	Call of Juarez - DirectX 10
3040	FIM Speedway GP3
3050	Xpand Rally Xtreme
3150	GM Rally
3160	A Farewell to Dragons
3200	Painkiller: Gold Edition
3205	Painkiller Editor
3210	Painkiller Demo
3220	SpaceForce: Rogue Universe
3270	Painkiller Overdose
3280	Painkiller Overdose Demo
3290	ValveTestApp3290
3300	Bejeweled 2 Deluxe
3302	Bejeweled 2 Deluxe Demo
3310	Chuzzle Deluxe
3312	Chuzzle Deluxe Demo
3320	Insaniquarium! Deluxe
3322	Insaniquarium! Deluxe Demo
3330	Zuma Deluxe
3332	Zuma Deluxe Demo
3340	AstroPop Deluxe
3342	AstroPop Deluxe Demo
3350	Bejeweled Deluxe
3352	Bejeweled Deluxe Demo
3360	Big Money! Deluxe
3362	Big Money Deluxe Demo
3370	BookWorm Deluxe
3372	BookWorm Deluxe Demo
3380	Dynomite! Deluxe
3382	Dynomite! Deluxe Demo
3390	Feeding Frenzy 2: Shipwreck Showdown Deluxe
3392	Feeding Frenzy 2: Shipwreck Showdown Deluxe Demo
3400	Hammer Heads Deluxe
3402	Hammer Heads Deluxe Demo
3410	Heavy Weapon Deluxe
3412	Heavy Weapon Deluxe Demo
3420	Iggle Pop! Deluxe
3422	Iggle Pop! Deluxe Demo
3430	Pizza Frenzy
3432	Pizza Frenzy Demo
3440	Rocket Mania! Deluxe
3442	Rocket Mania Deluxe Demo
3450	Typer Shark! Deluxe
3452	Typer Shark! Deluxe Demo
3460	Talismania Deluxe
3462	Talismania Deluxe Demo
3480	Peggle Deluxe
3482	Peggle Deluxe Demo
3483	Peggle Extreme
3490	Venice
3492	Venice Demo
3500	Mystery P.I.: The Lottery Ticket
3502	Mystery P.I.: The Lottery Ticket Demo
3510	Amazing Adventures: The Lost Tomb
3512	Amazing Adventures: The Lost Tomb Demo
3520	Mystery PI: The Vegas Heist
3522	Mystery PI: The Vegas Heist Demo
3530	Amazing Adventures Around the World
3532	Amazing Adventures Around the World Demo
3542	Peggle Nights Demo
3570	Mystery P.I.: The New York Fortune
3572	Mystery PI: The New York Fortune Demo
3580	The Wizard's Pen
3582	The Wizards Pen Demo
3599	Plants vs. Zombies
3600	Escape Rosecliff Island
3602	Escape Rosecliff Island Demo
3610	Mystery P.I.: Lost in Los Angeles
